Rank,Player,Country,Hit,Single,Outside,Other,Pcnt,Double,Year
109,Alan Soutar,SCO,51,57,63,0,29.82%,20,2021
110,Ted Evetts,ENG,36,27,60,0,29.27%,20,2021
111,Jim McEwan,SCO,21,9,42,0,29.17%,20,2021
112,Jason Heaver,ENG,45,45,66,0,28.85%,20,2021
113,Simon Whitlock,AUS,90,123,93,6,28.85%,20,2021
114,Jelle Klaasen,NED,30,42,33,0,28.57%,20,2021
115,Roman Benecky,CZE,6,6,6,3,28.57%,20,2021
116,Luke Humphries,ENG,102,138,120,3,28.1%,20,2021
117,Scott Waites,ENG,15,15,24,0,27.78%,20,2021
118,Peter Jacques,ENG,18,33,12,3,27.27%,20,2021
119,Kevin Doets,NED,9,18,6,0,27.27%,20,2021
120,Luke Woodhouse,ENG,33,39,51,0,26.83%,20,2021
121,Gordon Mathers,AUS,33,33,60,3,25.58%,20,2021
122,Lisa Ashton,ENG,30,51,33,6,25%,20,2021
123,Gary Blades,ENG,6,12,6,0,25%,20,2021
124,Glen Durrant,ENG,18,33,24,0,24%,20,2021
125,Jermaine Wattimena,NED,24,51,27,0,23.53%,20,2021
126,Brett Claydon,ENG,6,12,9,0,22.22%,20,2021
127,David Evans,ENG,6,15,6,0,22.22%,20,2021
128,Jeff Smith,CAN,6,21,0,0,22.22%,20,2021
129,Geert Nentjes,NED,15,42,12,0,21.74%,20,2021
130,Max Hopp,GER,15,42,12,0,21.74%,20,2021
131,Peter Hudson,ENG,9,18,15,0,21.43%,20,2021
132,Johan Engstrom,SWE,12,21,21,3,21.05%,20,2021
133,Raymond Smith,AUS,15,39,24,0,19.23%,20,2021
134,Michael Rasztovits,AUT,6,6,21,0,18.18%,20,2021
135,Ryan Murray,SCO,12,18,36,0,18.18%,20,2021
136,Steve Lennon,IRL,27,87,42,0,17.31%,20,2021
137,Diogo Portela,BRA,3,9,9,0,14.29%,20,2021
138,Michael Unterbuchner,GER,3,3,15,3,12.5%,20,2021
139,Lourence Ilagan,PHI,3,6,15,0,12.5%,20,2021
140,Matt Campbell,CAN,3,15,9,0,11.11%,20,2021
1,Simon Whitlock,AUS,18,3,12,0,54.55%,1,2022
2,Joe Cullen,ENG,21,6,12,0,53.85%,1,2022
3,Michael Smith,ENG,27,12,12,3,50%,1,2022
4,Gerwyn Price,WAL,18,3,18,0,46.15%,1,2022
5,Adrian Lewis,ENG,15,6,12,0,45.45%,1,2022
6,Dave Chisnall,ENG,24,15,15,0,44.44%,1,2022
7,Michael van Gerwen,NED,21,6,21,0,43.75%,1,2022
8,Josh Rock,NIR,9,3,9,0,42.86%,1,2022
9,Danny Noppert,NED,15,15,6,0,41.67%,1,2022
10,Jonny Clayton,WAL,27,12,30,0,39.13%,1,2022
11,Damon Heta,AUS,9,0,12,3,37.5%,1,2022
12,Mensur Suljović,AUT,9,3,12,0,37.5%,1,2022
13,Dimitri Van den Bergh,BEL,12,6,18,0,33.33%,1,2022
14,Andrew Gilding,ENG,9,12,6,0,33.33%,1,2022
15,Rob Cross,ENG,30,24,39,0,32.26%,1,2022
16,Rsoer Roes,POR,9,6,13,1,31.03%,1,2022
17,José de Sousa,POR,18,12,26,2,31.03%,1,2022
18,Rusty-Jake Rodriguez,AUT,6,3,12,0,28.57%,1,2022
19,Leonard Gates,USA,6,9,6,0,28.57%,1,2022
20,Madars Razma,LTV,12,9,24,3,25%,1,2022
21,Chris Dobey,ENG,15,21,36,3,20%,1,2022
22,Rowby-John Rodriguez,AUT,6,12,15,0,18.18%,1,2022
23,Ross Smith,ENG,6,9,21,0,16.67%,1,2022
24,Peter Wright,SCO,6,9,18,3,16.67%,1,2022
25,Stephen Bunting,ENG,9,18,27,0,16.67%,1,2022
26,Ryan Searle,ENG,6,6,33,0,13.33%,1,2022
27,William O'Connor,IRL,3,6,24,0,9.09%,1,2022
28,Dirk van Duijvenbode,NED,6,18,51,0,8%,1,2022
29,Steve Beaton,ENG,0,9,21,0,0%,1,2022
1,Jamie Hughes,ENG,12,3,6,0,57.14%,2,2022
2,Michael Smith,ENG,69,33,21,0,56.1%,2,2022
3,Nathan Aspinall,ENG,15,3,6,3,55.56%,2,2022
4,Martin Schindler,GER,48,18,18,3,55.17%,2,2022
5,Jeff Smith,CAN,15,0,15,0,50%,2,2022
6,Fallon Sherrock,ENG,15,6,9,0,50%,2,2022
7,Damon Heta,AUS,24,18,6,0,50%,2,2022
8,Keane Barry,IRL,24,9,15,0,50%,2,2022
9,Andrew Gilding,ENG,24,15,12,0,47.06%,2,2022
10,Luke Humphries,ENG,45,18,33,0,46.88%,2,2022
11,Steve Beaton,ENG,12,6,9,0,44.44%,2,2022
12,Peter Wright,SCO,42,30,24,0,43.75%,2,2022
13,Danny Noppert,NED,54,21,51,0,42.86%,2,2022
14,Wesley Plaisier,NED,9,0,12,0,42.86%,2,2022
15,Simon Whitlock,AUS,15,12,9,0,41.67%,2,2022
16,Gary Anderson,SCO,36,18,33,0,41.38%,2,2022
17,Callan Rydz,ENG,21,12,18,0,41.18%,2,2022
18,Florian Hempel,GER,12,9,9,0,40%,2,2022
19,Rusty-Jake Rodriguez,AUT,12,6,9,3,40%,2,2022
20,Josh Rock,NIR,27,18,24,0,39.13%,2,2022
21,Dimitri Van den Bergh,BEL,27,27,15,0,39.13%,2,2022
22,Rowby-John Rodriguez,AUT,18,15,15,0,37.5%,2,2022
23,Dirk van Duijvenbode,NED,18,21,9,0,37.5%,2,2022
24,Ross Smith,ENG,12,12,9,0,36.36%,2,2022
25,Krzysztof Ratajski,POL,15,9,18,0,35.71%,2,2022
26,Scott Waites,ENG,15,12,15,0,35.71%,2,2022
27,James Wade,ENG,36,15,51,0,35.29%,2,2022
28,Gerwyn Price,WAL,45,24,60,0,34.88%,2,2022
29,Madars Razma,LTV,21,24,21,0,31.82%,2,2022
30,Gabriel Clemens,GER,15,12,21,0,31.25%,2,2022
31,Ryan Searle,ENG,15,21,12,0,31.25%,2,2022
32,Alan Soutar,SCO,12,9,15,3,30.77%,2,2022
33,Jonny Clayton,WAL,36,36,48,0,30%,2,2022
34,Dave Chisnall,ENG,18,24,18,0,30%,2,2022
35,Boris Krčmar,CRO,15,3,33,0,29.41%,2,2022
36,Michael van Gerwen,NED,36,27,60,0,29.27%,2,2022
37,Adrian Lewis,ENG,6,12,0,3,28.57%,2,2022
38,Luke Woodhouse,ENG,6,3,12,0,28.57%,2,2022
39,Joe Cullen,ENG,45,36,78,3,27.78%,2,2022
40,Lewis Williams,WAL,9,9,18,0,25%,2,2022
41,Danny Jansen,NED,9,12,15,0,25%,2,2022
42,Mensur Suljović,AUT,6,12,6,0,25%,2,2022
43,Daryl Gurney,NIR,9,12,15,0,25%,2,2022
44,Chris Dobey,ENG,24,30,36,6,25%,2,2022
45,Leonard Gates,USA,6,18,0,0,25%,2,2022
46,Kim Huybrechts,BEL,6,3,15,0,25%,2,2022
47,Jermaine Wattimena,NED,9,9,21,0,23.08%,2,2022
48,Rob Cross,ENG,18,33,36,0,20.69%,2,2022
49,Stephen Bunting,ENG,9,21,15,3,18.75%,2,2022
50,Rsoer Roes,POR,7,16,23,0,15.22%,2,2022
51,José de Sousa,POR,14,32,46,0,15.22%,2,2022
52,Martin Lukeman,ENG,3,15,6,0,12.5%,2,2022
53,William O'Connor,IRL,3,21,9,0,9.09%,2,2022
54,Ricky Evans,ENG,0,12,12,0,0%,2,2022
1,Joe Cullen,ENG,21,3,0,0,87.5%,3,2022
2,Damon Heta,AUS,12,0,12,0,50%,3,2022
3,Daryl Gurney,NIR,9,6,6,0,42.86%,3,2022
4,Peter Wright,SCO,24,15,18,0,42.11%,3,2022
5,Callan Rydz,ENG,12,0,18,0,40%,3,2022
6,Nathan Aspinall,ENG,12,3,15,0,40%,3,2022
7,Michael Smith,ENG,15,12,18,0,33.33%,3,2022
8,Stephen Bunting,ENG,9,3,12,3,33.33%,3,2022
9,Rob Cross,ENG,21,18,33,0,29.17%,3,2022
10,Boris Krčmar,CRO,6,3,12,0,28.57%,3,2022
11,Martin Lukeman,ENG,6,6,9,0,28.57%,3,2022
12,Michael van Gerwen,NED,12,6,42,0,20%,3,2022
13,Gerwyn Price,WAL,6,18,12,0,16.67%,3,2022
14,Luke Humphries,ENG,3,12,6,0,14.29%,3,2022
15,Jonny Clayton,WAL,6,6,30,0,14.29%,3,2022
16,Martin Schindler,GER,6,9,30,6,11.76%,3,2022
17,Simon Whitlock,AUS,3,6,21,0,10%,3,2022
18,Jim Williams,WAL,0,6,12,3,0%,3,2022
1,Raymond van Barneveld,NED,33,6,9,0,68.75%,4,2022
2,Mervyn King,ENG,30,9,6,0,66.67%,4,2022
3,Sebastian Bialecki,POL,18,0,9,0,66.67%,4,2022
4,Jim Williams,WAL,30,15,3,0,62.5%,4,2022
5,Wesley Plaisier,NED,24,6,6,3,61.54%,4,2022
6,Gerwyn Price,WAL,66,15,30,0,59.46%,4,2022
7,Brendan Dolan,NIR,24,3,15,0,57.14%,4,2022
8,Thibault Tricole,FRA,12,3,6,0,57.14%,4,2022
9,Adam Gawlas,CZE,15,6,6,0,55.56%,4,2022
10,Boris Krčmar,CRO,30,15,12,0,52.63%,4,2022
11,Jermaine Wattimena,NED,51,21,27,0,51.52%,4,2022
12,Jeffrey de Zwaan,NED,27,3,24,0,50%,4,2022
13,Keegan Brown,ENG,21,12,9,0,50%,4,2022
14,Kevin Doets,NED,15,6,9,0,50%,4,2022
15,Cameron Menzies,SCO,21,9,12,0,50%,4,2022
16,Scott Williams,ENG,45,24,24,0,48.39%,4,2022
17,Gabriel Clemens,GER,42,18,27,0,48.28%,4,2022
18,Madars Razma,LTV,66,36,36,0,47.83%,4,2022
19,Nathan Aspinall,ENG,75,21,60,3,47.17%,4,2022
20,Kim Huybrechts,BEL,24,15,9,3,47.06%,4,2022
21,Michael Smith,ENG,87,54,42,3,46.77%,4,2022
22,Dirk van Duijvenbode,NED,114,39,87,6,46.34%,4,2022
23,Stephen Bunting,ENG,33,24,12,3,45.83%,4,2022
24,Martin Lukeman,ENG,33,24,15,0,45.83%,4,2022
25,Mensur Suljović,AUT,15,12,6,0,45.45%,4,2022
26,Florian Hempel,GER,15,12,6,0,45.45%,4,2022
27,Ian White,ENG,27,12,21,0,45%,4,2022
28,Rsoer Roes,POR,21,9,18,0,43.75%,4,2022
29,José de Sousa,POR,42,18,36,0,43.75%,4,2022
30,Adrian Lewis,ENG,30,15,24,0,43.48%,4,2022
31,Ross Smith,ENG,27,15,21,0,42.86%,4,2022
32,John Henderson,SCO,9,6,6,0,42.86%,4,2022
33,Vincent van der Voort,NED,18,9,15,0,42.86%,4,2022
34,Michael van Gerwen,NED,132,57,114,6,42.72%,4,2022
35,Jonny Clayton,WAL,147,60,135,3,42.61%,4,2022
36,Daryl Gurney,NIR,51,21,45,3,42.5%,4,2022
37,Joe Cullen,ENG,99,84,51,0,42.31%,4,2022
38,Peter Wright,SCO,105,75,69,0,42.17%,4,2022
39,Dave Chisnall,ENG,72,33,72,0,40.68%,4,2022
40,Jules Van Dongen,USA,12,3,15,0,40%,4,2022
41,Matt Campbell,CAN,12,15,3,0,40%,4,2022
42,Dimitri Van den Bergh,BEL,90,72,66,0,39.47%,4,2022
43,Luke Humphries,ENG,111,78,93,3,38.95%,4,2022
44,Alan Soutar,SCO,21,12,21,0,38.89%,4,2022
45,Ryan Searle,ENG,66,54,48,3,38.6%,4,2022
46,Rob Cross,ENG,96,69,81,3,38.55%,4,2022
47,Karel Sedláček,CZE,15,6,12,6,38.46%,4,2022
48,Damon Heta,AUS,60,30,66,0,38.46%,4,2022
49,José Justicia,ESP,9,6,9,0,37.5%,4,2022
50,Andrew Gilding,ENG,27,21,24,0,37.5%,4,2022
51,Lisa Ashton,ENG,9,0,12,3,37.5%,4,2022
52,Josh Rock,NIR,27,33,12,0,37.5%,4,2022
53,Rowby-John Rodriguez,AUT,30,18,33,0,37.04%,4,2022
54,Mike De Decker,BEL,12,12,9,0,36.36%,4,2022
55,Danny Noppert,NED,60,51,54,0,36.36%,4,2022
56,Ricky Evans,ENG,18,12,21,0,35.29%,4,2022
57,James Wade,ENG,21,15,24,0,35%,4,2022
58,Luke Woodhouse,ENG,9,9,9,0,33.33%,4,2022
59,Callan Rydz,ENG,27,30,24,0,33.33%,4,2022
60,Keane Barry,IRL,18,18,18,0,33.33%,4,2022
61,Martijn Kleermaker,NED,9,6,12,0,33.33%,4,2022
62,Rusty-Jake Rodriguez,AUT,12,15,9,0,33.33%,4,2022
63,Scott Waites,ENG,18,18,18,0,33.33%,4,2022
64,Fallon Sherrock,ENG,24,15,30,3,33.33%,4,2022
65,Darius Labanauskas,LTH,12,9,15,0,33.33%,4,2022
66,James Wilson,ENG,12,12,9,6,30.77%,4,2022
67,Gary Anderson,SCO,48,42,66,0,30.77%,4,2022
68,Steve Beaton,ENG,12,9,15,3,30.77%,4,2022
69,William O'Connor,IRL,21,21,24,3,30.43%,4,2022
70,Jamie Hughes,ENG,9,15,6,0,30%,4,2022
71,Simon Whitlock,AUS,42,30,78,0,28%,4,2022
72,Lewis Williams,WAL,9,18,6,0,27.27%,4,2022
73,Danny Jansen,NED,9,15,9,0,27.27%,4,2022
74,Krzysztof Ratajski,POL,27,30,42,3,26.47%,4,2022
75,Nathan Rafferty,NIR,6,3,15,0,25%,4,2022
76,Max Hopp,GER,6,6,6,6,25%,4,2022
77,Chris Dobey,ENG,24,48,33,0,22.86%,4,2022
78,Maik Kuivenhoven,NED,6,6,12,3,22.22%,4,2022
79,Leonard Gates,USA,9,21,12,0,21.43%,4,2022
80,Mario Vandenbogaerde,BEL,6,3,18,3,20%,4,2022
81,Lukas Wenig,GER,6,3,24,0,18.18%,4,2022
82,Martin Schindler,GER,15,54,15,9,16.13%,4,2022
83,Jeff Smith,CAN,6,15,18,0,15.38%,4,2022
84,Ritchie Edhouse,ENG,3,18,6,0,11.11%,4,2022
85,Daniel Larsson,SWE,3,6,21,0,10%,4,2022
1,José Justicia,ESP,15,0,9,0,62.5%,5,2022
2,Martin Lukeman,ENG,18,3,9,0,60%,5,2022
3,John Henderson,SCO,12,6,3,0,57.14%,5,2022
4,Alan Soutar,SCO,12,3,6,0,57.14%,5,2022
5,Steve Beaton,ENG,15,6,0,6,55.56%,5,2022
6,Ryan Searle,ENG,33,9,15,3,55%,5,2022
7,Keane Barry,IRL,21,12,6,0,53.85%,5,2022
8,Nathan Aspinall,ENG,69,24,42,0,51.11%,5,2022
9,Luke Humphries,ENG,42,24,18,0,50%,5,2022
10,Scott Williams,ENG,12,9,3,0,50%,5,2022
11,Gary Anderson,SCO,75,39,48,0,46.3%,5,2022
12,Dirk van Duijvenbode,NED,45,24,30,0,45.45%,5,2022
13,Krzysztof Ratajski,POL,24,9,18,3,44.44%,5,2022
14,Dave Chisnall,ENG,72,30,66,0,42.86%,5,2022
15,Lisa Ashton,ENG,9,6,6,0,42.86%,5,2022
16,Nathan Rafferty,NIR,18,12,12,0,42.86%,5,2022
17,Ron Meulenkamp,NED,9,3,9,0,42.86%,5,2022
18,Jason Lowe,ENG,9,3,9,0,42.86%,5,2022
19,Michael van Gerwen,NED,72,33,57,9,42.11%,5,2022
20,Martijn Kleermaker,NED,15,9,12,0,41.67%,5,2022
21,Matt Campbell,CAN,15,3,18,0,41.67%,5,2022
22,Rob Cross,ENG,27,21,12,6,40.91%,5,2022
23,Ross Montgomery,SCO,12,12,6,0,40%,5,2022
24,Rusty-Jake Rodriguez,AUT,21,12,21,0,38.89%,5,2022
25,Gordon Mathers,AUS,15,3,21,0,38.46%,5,2022
26,Chris Dobey,ENG,39,18,39,6,38.24%,5,2022
27,Rowby-John Rodriguez,AUT,24,12,27,0,38.1%,5,2022
28,Danny Noppert,NED,69,60,51,3,37.7%,5,2022
29,Boris Krčmar,CRO,9,12,3,0,37.5%,5,2022
30,Wesley Plaisier,NED,9,3,12,0,37.5%,5,2022
31,Joe Murnan,ENG,9,3,9,3,37.5%,5,2022
32,Florian Hempel,GER,9,9,6,0,37.5%,5,2022
33,Josh Rock,NIR,48,27,51,3,37.21%,5,2022
34,Michael Smith,ENG,138,96,138,3,36.8%,5,2022
35,Ryan Meikle,ENG,12,0,21,0,36.36%,5,2022
36,Jonny Clayton,WAL,27,15,30,3,36%,5,2022
37,Gabriel Clemens,GER,27,27,21,0,36%,5,2022
38,Gerwyn Price,WAL,120,90,123,3,35.71%,5,2022
39,Martin Schindler,GER,33,15,45,0,35.48%,5,2022
40,Ritchie Edhouse,ENG,18,9,27,0,33.33%,5,2022
41,Karel Sedláček,CZE,15,18,12,0,33.33%,5,2022
42,Brett Claydon,ENG,12,6,18,0,33.33%,5,2022
43,Vincent van der Voort,NED,15,9,21,0,33.33%,5,2022
44,Ross Smith,ENG,24,18,30,0,33.33%,5,2022
45,Mensur Suljović,AUT,9,9,9,0,33.33%,5,2022
46,Damon Heta,AUS,27,30,27,0,32.14%,5,2022
47,Callan Rydz,ENG,15,6,27,0,31.25%,5,2022
48,James Wade,ENG,57,30,84,12,31.15%,5,2022
49,Peter Wright,SCO,66,57,87,3,30.99%,5,2022
50,Jeffrey de Zwaan,NED,15,6,30,0,29.41%,5,2022
51,Ian White,ENG,6,3,12,0,28.57%,5,2022
52,Maik Kuivenhoven,NED,6,6,9,0,28.57%,5,2022
53,Steve Lennon,IRL,6,6,9,0,28.57%,5,2022
54,José de Sousa,POR,24,28,38,0,26.67%,5,2022
55,Rsoer Roes,POR,12,14,19,0,26.67%,5,2022
56,Stephen Bunting,ENG,24,21,45,0,26.67%,5,2022
57,Fallon Sherrock,ENG,9,18,9,0,25%,5,2022
58,Daryl Gurney,NIR,12,12,24,0,25%,5,2022
59,William O'Connor,IRL,9,9,18,0,25%,5,2022
60,Geert Nentjes,NED,12,12,18,6,25%,5,2022
61,Jimmy Hendriks,NED,6,3,15,0,25%,5,2022
62,Stefan Bellmont,SUI,6,0,18,0,25%,5,2022
63,Adrian Lewis,ENG,15,15,30,3,23.81%,5,2022
64,Joe Cullen,ENG,24,39,39,0,23.53%,5,2022
65,Andrew Gilding,ENG,18,27,36,0,22.22%,5,2022
66,Simon Whitlock,AUS,12,21,21,0,22.22%,5,2022
67,Brendan Dolan,NIR,9,6,27,0,21.43%,5,2022
68,Darius Labanauskas,LTH,9,15,18,0,21.43%,5,2022
69,Adam Gawlas,CZE,12,15,30,0,21.05%,5,2022
70,Dimitri Van den Bergh,BEL,9,18,18,0,20%,5,2022
71,Madars Razma,LTV,6,9,18,0,18.18%,5,2022
72,Devon Petersen,RSA,6,6,21,0,18.18%,5,2022
73,John O Shea,IRL,6,15,12,0,18.18%,5,2022
74,Scott Waites,ENG,6,12,18,0,16.67%,5,2022
75,Berry van Peer,NED,3,9,9,0,14.29%,5,2022
76,Danny Jansen,NED,3,9,12,0,12.5%,5,2022
77,Danny Baggish,USA,3,9,12,3,11.11%,5,2022
78,Jamie Hughes,ENG,6,18,30,0,11.11%,5,2022
79,Cameron Menzies,SCO,3,15,24,0,7.14%,5,2022
80,Mike De Decker,BEL,0,12,12,3,0%,5,2022
1,Krzysztof Ratajski,POL,15,6,3,0,62.5%,6,2022
2,Gary Anderson,SCO,15,6,3,0,62.5%,6,2022
3,Dave Chisnall,ENG,21,6,9,0,58.33%,6,2022
4,Mervyn King,ENG,12,0,9,0,57.14%,6,2022
5,Keegan Brown,ENG,12,3,6,0,57.14%,6,2022
6,Stephen Bunting,ENG,27,12,9,0,56.25%,6,2022
7,Damon Heta,AUS,57,12,33,0,55.88%,6,2022
8,Martijn Kleermaker,NED,15,3,6,3,55.56%,6,2022
9,Ross Smith,ENG,24,12,9,0,53.33%,6,2022
10,Jonny Clayton,WAL,54,15,27,6,52.94%,6,2022
11,Danny Noppert,NED,45,12,30,6,48.39%,6,2022
12,Raymond van Barneveld,NED,21,3,21,0,46.67%,6,2022
13,Jermaine Wattimena,NED,21,6,18,0,46.67%,6,2022
14,Dimitri Van den Bergh,BEL,30,15,21,0,45.45%,6,2022
15,Martin Schindler,GER,30,18,18,0,45.45%,6,2022
16,Chris Dobey,ENG,12,12,3,0,44.44%,6,2022
17,Ryan Searle,ENG,24,15,15,0,44.44%,6,2022
18,Keane Barry,IRL,21,6,18,3,43.75%,6,2022
19,Madars Razma,LTV,18,6,18,0,42.86%,6,2022
20,Michael van Gerwen,NED,75,33,69,3,41.67%,6,2022
21,Mensur Suljović,AUT,15,3,18,0,41.67%,6,2022
22,Josh Rock,NIR,15,12,9,0,41.67%,6,2022
23,Vincent van der Voort,NED,15,3,18,0,41.67%,6,2022
24,James Wade,ENG,27,18,24,0,39.13%,6,2022
25,Michael Smith,ENG,45,39,33,0,38.46%,6,2022
26,Kim Huybrechts,BEL,21,15,21,0,36.84%,6,2022
27,Scott Williams,ENG,24,9,33,0,36.36%,6,2022
28,Gabriel Clemens,GER,24,9,33,0,36.36%,6,2022
29,Peter Wright,SCO,39,42,27,0,36.11%,6,2022
30,Alan Soutar,SCO,21,6,30,3,35%,6,2022
31,Joe Cullen,ENG,51,27,69,3,34%,6,2022
32,Simon Whitlock,AUS,15,9,18,3,33.33%,6,2022
33,Rob Cross,ENG,45,36,51,3,33.33%,6,2022
34,James Wilson,ENG,12,6,15,3,33.33%,6,2022
35,Luke Humphries,ENG,33,18,48,0,33.33%,6,2022
36,Dirk van Duijvenbode,NED,30,21,39,3,32.26%,6,2022
37,Karel Sedláček,CZE,15,6,27,0,31.25%,6,2022
38,Daryl Gurney,NIR,21,15,30,3,30.43%,6,2022
39,Nathan Aspinall,ENG,18,27,15,0,30%,6,2022
40,Gerwyn Price,WAL,45,36,69,0,30%,6,2022
41,Rsoer Roes,POR,7,6,10,2,28%,6,2022
42,José de Sousa,POR,14,12,20,4,28%,6,2022
43,Andrew Gilding,ENG,12,21,12,0,26.67%,6,2022
44,Callan Rydz,ENG,12,18,15,0,26.67%,6,2022
45,Rowby-John Rodriguez,AUT,15,15,24,3,26.32%,6,2022
46,Jim Williams,WAL,6,18,3,0,22.22%,6,2022
47,Martin Lukeman,ENG,6,18,12,0,16.67%,6,2022
48,Mickey Mansell,NIR,3,6,6,6,14.29%,6,2022
49,Max Hopp,GER,3,9,12,0,12.5%,6,2022
50,Adrian Lewis,ENG,3,12,9,0,12.5%,6,2022
51,Jim McEwan,SCO,0,3,15,3,0%,6,2022
1,Dave Chisnall,ENG,15,3,9,0,55.56%,7,2022
2,Peter Wright,SCO,21,9,6,6,50%,7,2022
3,Jonny Clayton,WAL,18,9,9,0,50%,7,2022
4,Gerwyn Price,WAL,12,6,9,0,44.44%,7,2022
5,James Wade,ENG,18,12,12,0,42.86%,7,2022
6,Michael van Gerwen,NED,30,9,33,0,41.67%,7,2022
7,Max Hopp,GER,9,0,15,0,37.5%,7,2022
8,Damon Heta,AUS,18,3,30,0,35.29%,7,2022
9,Alan Soutar,SCO,9,0,18,0,33.33%,7,2022
10,Dirk van Duijvenbode,NED,12,3,21,0,33.33%,7,2022
11,Dimitri Van den Bergh,BEL,21,6,42,0,30.43%,7,2022
12,Callan Rydz,ENG,9,6,15,0,30%,7,2022
13,Gary Anderson,SCO,6,9,6,0,28.57%,7,2022
14,Gabriel Clemens,GER,9,6,18,0,27.27%,7,2022
15,Joe Cullen,ENG,15,9,39,0,23.81%,7,2022
16,Nathan Aspinall,ENG,9,3,27,0,23.08%,7,2022
17,Michael Smith,ENG,6,12,9,0,22.22%,7,2022
18,Luke Humphries,ENG,12,6,39,0,21.05%,7,2022
19,Martin Schindler,GER,6,9,18,0,18.18%,7,2022
20,Chris Dobey,ENG,3,6,9,3,14.29%,7,2022
21,Keane Barry,IRL,3,6,12,0,14.29%,7,2022
22,Jermaine Wattimena,NED,3,6,15,0,12.5%,7,2022
23,Ricky Evans,ENG,3,6,15,0,12.5%,7,2022
1,Vladimir Andersen,DEN,15,0,6,0,71.43%,8,2022
2,Krzysztof Kciuk,POL,30,9,6,0,66.67%,8,2022
3,Danny van Trijp,NED,18,0,9,0,66.67%,8,2022
4,Danny Jansen,NED,30,6,12,0,62.5%,8,2022
5,Daniel Larsson,SWE,18,9,3,0,60%,8,2022
6,James Wade,ENG,30,15,9,0,55.56%,8,2022
7,Scott Williams,ENG,63,30,21,0,55.26%,8,2022
8,Steve Beaton,ENG,48,18,18,3,55.17%,8,2022
9,William O'Connor,IRL,54,24,21,0,54.55%,8,2022
10,Ryan Joyce,ENG,75,9,54,0,54.35%,8,2022
11,Ryan Meikle,ENG,21,9,9,0,53.85%,8,2022
12,John Henderson,SCO,21,9,9,0,53.85%,8,2022
13,Keegan Brown,ENG,48,27,15,0,53.33%,8,2022
14,Raymond van Barneveld,NED,93,21,60,3,52.54%,8,2022
15,Danny Noppert,NED,126,48,66,0,52.5%,8,2022
16,Kim Huybrechts,BEL,81,27,48,0,51.92%,8,2022
17,Madars Razma,LTV,45,21,18,3,51.72%,8,2022
18,Karel Sedláček,CZE,51,21,27,0,51.52%,8,2022
19,Brendan Dolan,NIR,54,6,42,3,51.43%,8,2022
20,Adam Hunt,ENG,18,6,12,0,50%,8,2022
21,Luke Woodhouse,ENG,42,9,33,0,50%,8,2022
22,Jelle Klaasen,NED,15,3,12,0,50%,8,2022
23,Christian Perez,PHI,12,6,3,3,50%,8,2022
24,Bradley Brooks,ENG,12,3,9,0,50%,8,2022
25,Wesley Plaisier,NED,42,27,18,0,48.28%,8,2022
26,Martin Lukeman,ENG,96,36,69,0,47.76%,8,2022
27,Vincent van der Voort,NED,57,21,42,0,47.5%,8,2022
28,Brian Raman,BEL,24,9,18,0,47.06%,8,2022
29,Florian Hempel,GER,45,21,30,0,46.88%,8,2022
30,Steve Lennon,IRL,21,0,24,0,46.67%,8,2022
31,Krzysztof Ratajski,POL,138,48,108,3,46.46%,8,2022
32,Michael van Gerwen,NED,318,135,234,0,46.29%,8,2022
33,Gary Anderson,SCO,72,42,42,0,46.15%,8,2022
34,Maik Kuivenhoven,NED,15,9,9,0,45.45%,8,2022
35,Nathan Aspinall,ENG,222,87,183,0,45.12%,8,2022
36,Michael Smith,ENG,162,72,126,3,44.63%,8,2022
37,Dirk van Duijvenbode,NED,195,129,111,3,44.52%,8,2022
38,Jim Williams,WAL,84,30,75,0,44.44%,8,2022
39,Danny Baggish,USA,24,6,24,0,44.44%,8,2022
40,Ross Smith,ENG,87,36,75,0,43.94%,8,2022
41,Damon Heta,AUS,246,75,240,0,43.85%,8,2022
42,Ricky Evans,ENG,39,18,33,0,43.33%,8,2022
43,Martijn Kleermaker,NED,9,6,6,0,42.86%,8,2022
44,Alan Soutar,SCO,54,21,51,0,42.86%,8,2022
45,José Justicia,ESP,18,9,15,0,42.86%,8,2022
46,Jimmy Hendriks,NED,18,6,18,0,42.86%,8,2022
47,Jamie Hughes,ENG,27,21,15,0,42.86%,8,2022
48,Rob Cross,ENG,210,126,156,0,42.68%,8,2022
49,Luke Humphries,ENG,255,159,183,3,42.5%,8,2022
50,Gian van Veen,NED,15,12,9,0,41.67%,8,2022
51,Thibault Tricole,FRA,15,15,6,0,41.67%,8,2022
52,Daryl Gurney,NIR,105,45,102,0,41.67%,8,2022
53,Mervyn King,ENG,48,30,39,0,41.03%,8,2022
54,Jermaine Wattimena,NED,60,45,42,0,40.82%,8,2022
55,Joe Cullen,ENG,258,114,264,0,40.57%,8,2022
56,Josh Rock,NIR,51,27,48,0,40.48%,8,2022
57,Cameron Menzies,SCO,30,21,21,3,40%,8,2022
58,Martin Schindler,GER,126,78,108,3,40%,8,2022
59,Ricardo Pietreczko,GER,18,6,21,0,40%,8,2022
60,Matt Campbell,CAN,36,21,33,0,40%,8,2022
61,Simon Whitlock,AUS,111,57,108,3,39.78%,8,2022
62,Rsoer Roes,POR,31,21,27,0,39.24%,8,2022
63,José de Sousa,POR,62,42,54,0,39.24%,8,2022
